sector,contract_type,barra,months_observed,avg_industrial_exposure_score,p90_industrial_exposure_score,max_industrial_exposure_score,priority_months,watchlist_months,low_info_months,spot_share,monthly_mwh,dominant_driver,watchlist_share,profile_priority_score,signal_stability_label_es
agroindustry_seasonal,balanced_30pct_spot_ppa,POROMA 220,36,29.76,36.95,44.53,0,0,0,0.3,6000,Ventanas críticas,0.0,29.31,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,LOMERA 220,36,29.2,36.22,45.77,0,0,0,0.3,6000,Ventanas críticas,0.0,29.06,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,SANTIAGO DE CAO 138,1,29.05,29.05,29.05,0,0,0,0.3,6000,Prima de estrés,0.0,24.7,Sensible
agroindustry_seasonal,balanced_30pct_spot_ppa,HUACHO 220,36,28.96,37.55,45.14,0,0,0,0.3,6000,Ventanas críticas,0.0,29.19,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CHAVARRIA 220,36,28.37,34.68,48.75,0,0,0,0.3,6000,Ventanas críticas,0.0,28.75,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,MARCONA 60,27,28.28,34.48,38.91,0,0,2,0.3,6000,Ventanas críticas,0.0,27.18,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,ZAPALLAL 220,36,28.26,34.72,48.13,0,0,0,0.3,6000,Ventanas críticas,0.0,28.61,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,SANTA TERESA 220,36,28.18,41.22,47.87,0,0,0,0.3,6000,Ventanas críticas,0.0,30.16,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,VENTANILLA 220,36,27.97,33.69,48.14,0,0,0,0.3,6000,Ventanas críticas,0.0,28.23,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CARABAYLLO 220,36,27.9,34.56,47.85,0,0,0,0.3,6000,Ventanas críticas,0.0,28.37,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,ICA 220,36,27.55,34.88,45.94,0,0,0,0.3,6000,Ventanas críticas,0.0,28.01,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,FLAMENCO 220,26,27.47,34.01,38.14,0,0,0,0.3,6000,Ventanas críticas,0.0,26.59,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,INDEPENDENCIA 60,36,27.41,33.76,47.34,0,0,0,0.3,6000,Ventanas críticas,0.0,27.88,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CT PISCO 60,36,27.41,33.76,47.34,0,0,0,0.3,6000,Ventanas críticas,0.0,27.87,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,INDUSTRIALES 220,36,27.22,35.74,44.16,0,0,0,0.3,6000,Ventanas críticas,0.0,27.81,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CAJAMARQUILLA 220,36,27.11,33.15,47.03,0,0,0,0.3,6000,Ventanas críticas,0.0,27.54,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,ERSUR 220,26,26.93,32.94,36.83,0,0,0,0.3,6000,Ventanas críticas,0.0,25.88,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CT INDEPENDENCIA 60,36,26.92,33.04,46.81,0,0,0,0.3,6000,Ventanas críticas,0.0,27.39,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,NAZCA NUEVA 220,23,26.92,32.78,37.38,0,0,0,0.3,6000,Ventanas críticas,0.0,25.92,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PLANICIE 220,36,26.64,33.3,37.71,0,0,0,0.3,6000,Ventanas críticas,0.0,25.97,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,SANTA ROSA 220,36,26.54,35.05,48.58,0,0,0,0.3,6000,Ventanas críticas,0.0,27.99,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CHINCHA NUEVA 220,23,26.33,34.59,44.91,0,0,0,0.3,6000,Ventanas críticas,0.0,27.23,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CARAPONGO 220,36,26.28,32.57,46.52,0,0,0,0.3,6000,Ventanas críticas,0.0,26.95,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,INDEPENDENCIA 220,36,26.27,32.39,46.23,0,0,0,0.3,6000,Ventanas críticas,0.0,26.85,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,HUANCHOR 50,36,26.14,43.58,53.1,0,0,0,0.3,6000,Ventanas críticas,0.0,30.62,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CHEVES 220,36,26.13,34.72,43.94,0,0,0,0.3,6000,Ventanas críticas,0.0,27.03,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,MARAÑON 60,36,25.98,37.03,49.63,0,0,0,0.3,6000,Ventanas críticas,0.0,28.39,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,MACHUPICCHU 138,36,25.86,40.13,45.49,0,0,0,0.3,6000,Ventanas críticas,0.0,28.49,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PARAGSHA2 138,36,25.56,34.08,43.94,0,0,0,0.3,6000,Ventanas críticas,0.0,26.61,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CHEVES 13.8,36,25.29,34.04,43.62,0,0,0,0.3,6000,Ventanas críticas,0.0,26.43,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CAHUA138,36,24.92,34.3,50.95,0,0,0,0.3,6000,Ventanas críticas,0.0,27.43,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,DESIERTO 220,35,24.58,29.9,43.75,0,0,0,0.3,6000,Ventanas críticas,0.0,25.1,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CANTERA 220,36,24.36,29.28,44.72,0,0,0,0.3,6000,Ventanas críticas,0.0,24.99,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PUNTA LOMITAS II,36,24.11,28.56,34.36,0,0,0,0.3,6000,Ventanas críticas,0.0,23.14,Variable
